SceneID,ConditionID,RepetitionID,DatasetName,Distance,DensityRatio,CorrectAnswer
35,4,5,Stimuli45_-0.100_1,1.0,-0.100,1
36,4,6,Stimuli46_-0.100_1,1.0,-0.100,1
37,4,7,Stimuli47_-0.100_2,1.0,-0.100,2
38,4,8,Stimuli48_-0.100_2,1.0,-0.100,2
39,4,9,Stimuli49_-0.100_1,1.0,-0.100,1
40,4,10,Stimuli50_-0.100_2,1.0,-0.100,2
41,5,1,Stimuli51_-0.050_2,1.0,-0.050,2
42,5,2,Stimuli52_-0.050_2,1.0,-0.050,2
43,5,3,Stimuli53_-0.050_1,1.0,-0.050,1
44,5,4,Stimuli54_-0.050_2,1.0,-0.050,2
45,5,5,Stimuli55_-0.050_1,1.0,-0.050,1
46,5,6,Stimuli56_-0.050_1,1.0,-0.050,1
47,5,7,Stimuli57_-0.050_1,1.0,-0.050,1
48,5,8,Stimuli58_-0.050_1,1.0,-0.050,1
49,5,9,Stimuli59_-0.050_2,1.0,-0.050,2
50,5,10,Stimuli60_-0.050_2,1.0,-0.050,2
51,6,1,Stimuli61_+0.050_2,1.0,0.050,2
52,6,2,Stimuli62_+0.050_1,1.0,0.050,1
53,6,3,Stimuli63_+0.050_2,1.0,0.050,2
54,6,4,Stimuli64_+0.050_1,1.0,0.050,1
55,6,5,Stimuli65_+0.050_1,1.0,0.050,1
56,6,6,Stimuli66_+0.050_1,1.0,0.050,1
57,6,7,Stimuli67_+0.050_1,1.0,0.050,1
58,6,8,Stimuli68_+0.050_2,1.0,0.050,2
59,6,9,Stimuli69_+0.050_2,1.0,0.050,2
60,6,10,Stimuli70_+0.050_2,1.0,0.050,2
61,7,1,Stimuli71_+0.100_1,1.0,0.100,1
62,7,2,Stimuli72_+0.100_2,1.0,0.100,2
63,7,3,Stimuli73_+0.100_1,1.0,0.100,1
64,7,4,Stimuli74_+0.100_2,1.0,0.100,2
65,7,5,Stimuli75_+0.100_1,1.0,0.100,1
66,7,6,Stimuli76_+0.100_1,1.0,0.100,1
67,7,7,Stimuli77_+0.100_1,1.0,0.100,1
68,7,8,Stimuli78_+0.100_2,1.0,0.100,2
69,7,9,Stimuli79_+0.100_2,1.0,0.100,2
70,7,10,Stimuli80_+0.100_2,1.0,0.100,2
71,8,1,Stimuli81_+0.150_1,1.0,0.150,1
72,8,2,Stimuli82_+0.150_2,1.0,0.150,2
73,8,3,Stimuli83_+0.150_2,1.0,0.150,2
74,8,4,Stimuli84_+0.150_1,1.0,0.150,1
75,8,5,Stimuli85_+0.150_2,1.0,0.150,2
76,8,6,Stimuli86_+0.150_1,1.0,0.150,1
77,8,7,Stimuli87_+0.150_1,1.0,0.150,1
78,8,8,Stimuli88_+0.150_1,1.0,0.150,1
79,8,9,Stimuli89_+0.150_2,1.0,0.150,2
80,8,10,Stimuli90_+0.150_2,1.0,0.150,2
81,9,1,Stimuli91_+0.200_2,1.0,0.200,2
82,9,2,Stimuli92_+0.200_1,1.0,0.200,1
83,9,3,Stimuli93_+0.200_1,1.0,0.200,1
84,9,4,Stimuli94_+0.200_1,1.0,0.200,1
85,9,5,Stimuli95_+0.200_2,1.0,0.200,2
86,9,6,Stimuli96_+0.200_2,1.0,0.200,2
87,9,7,Stimuli97_+0.200_2,1.0,0.200,2
88,9,8,Stimuli98_+0.200_1,1.0,0.200,1
89,9,9,Stimuli99_+0.200_1,1.0,0.200,1
90,9,10,Stimuli100_+0.200_2,1.0,0.200,2
91,10,1,Stimuli101_+0.250_2,1.0,0.250,2
92,10,2,Stimuli102_+0.250_1,1.0,0.250,1
93,10,3,Stimuli103_+0.250_2,1.0,0.250,2
94,10,4,Stimuli104_+0.250_1,1.0,0.250,1
95,10,5,Stimuli105_+0.250_2,1.0,0.250,2
96,10,6,Stimuli106_+0.250_1,1.0,0.250,1
97,10,7,Stimuli107_+0.250_1,1.0,0.250,1
98,10,8,Stimuli108_+0.250_2,1.0,0.250,2
99,10,9,Stimuli109_+0.250_1,1.0,0.250,1
100,10,10,Stimuli110_+0.250_2,1.0,0.250,2
101,1,1,Stimuli11_-0.250_2,1.414,-0.250,2
102,1,2,Stimuli12_-0.250_1,1.414,-0.250,1
103,1,3,Stimuli13_-0.250_2,1.414,-0.250,2
104,1,4,Stimuli14_-0.250_2,1.414,-0.250,2
105,1,5,Stimuli15_-0.250_2,1.414,-0.250,2
106,1,6,Stimuli16_-0.250_2,1.414,-0.250,2
107,1,7,Stimuli17_-0.250_1,1.414,-0.250,1
108,1,8,Stimuli18_-0.250_1,1.414,-0.250,1
109,1,9,Stimuli19_-0.250_1,1.414,-0.250,1
110,1,10,Stimuli20_-0.250_1,1.414,-0.250,1
111,2,1,Stimuli21_-0.200_1,1.414,-0.200,1
112,2,2,Stimuli22_-0.200_2,1.414,-0.200,2
113,2,3,Stimuli23_-0.200_2,1.414,-0.200,2
114,2,4,Stimuli24_-0.200_1,1.414,-0.200,1
115,2,5,Stimuli25_-0.200_2,1.414,-0.200,2
116,2,6,Stimuli26_-0.200_2,1.414,-0.200,2
117,2,7,Stimuli27_-0.200_1,1.414,-0.200,1
118,2,8,Stimuli28_-0.200_2,1.414,-0.200,2
119,2,9,Stimuli29_-0.200_1,1.414,-0.200,1
120,2,10,Stimuli30_-0.200_1,1.414,-0.200,1
121,3,1,Stimuli31_-0.150_2,1.414,-0.150,2
122,3,2,Stimuli32_-0.150_2,1.414,-0.150,2
123,3,3,Stimuli33_-0.150_2,1.414,-0.150,2
124,3,4,Stimuli34_-0.150_1,1.414,-0.150,1
125,3,5,Stimuli35_-0.150_2,1.414,-0.150,2
126,3,6,Stimuli36_-0.150_1,1.414,-0.150,1
127,3,7,Stimuli37_-0.150_1,1.414,-0.150,1
128,3,8,Stimuli38_-0.150_2,1.414,-0.150,2
129,3,9,Stimuli39_-0.150_1,1.414,-0.150,1
130,3,10,Stimuli40_-0.150_1,1.414,-0.150,1
131,4,1,Stimuli41_-0.100_2,1.414,-0.100,2
132,4,2,Stimuli42_-0.100_1,1.414,-0.100,1
133,4,3,Stimuli43_-0.100_1,1.414,-0.100,1
134,4,4,Stimuli44_-0.100_2,1.414,-0.100,2
135,4,5,Stimuli45_-0.100_1,1.414,-0.100,1
136,4,6,Stimuli46_-0.100_1,1.414,-0.100,1
137,4,7,Stimuli47_-0.100_2,1.414,-0.100,2
138,4,8,Stimuli48_-0.100_2,1.414,-0.100,2
139,4,9,Stimuli49_-0.100_1,1.414,-0.100,1
140,4,10,Stimuli50_-0.100_2,1.414,-0.100,2
141,5,1,Stimuli51_-0.050_2,1.414,-0.050,2
142,5,2,Stimuli52_-0.050_2,1.414,-0.050,2
143,5,3,Stimuli53_-0.050_1,1.414,-0.050,1
144,5,4,Stimuli54_-0.050_2,1.414,-0.050,2
145,5,5,Stimuli55_-0.050_1,1.414,-0.050,1
146,5,6,Stimuli56_-0.050_1,1.414,-0.050,1
147,5,7,Stimuli57_-0.050_1,1.414,-0.050,1
148,5,8,Stimuli58_-0.050_1,1.414,-0.050,1
149,5,9,Stimuli59_-0.050_2,1.414,-0.050,2
150,5,10,Stimuli60_-0.050_2,1.414,-0.050,2
151,6,1,Stimuli61_+0.050_2,1.414,0.050,2
152,6,2,Stimuli62_+0.050_1,1.414,0.050,1
153,6,3,Stimuli63_+0.050_2,1.414,0.050,2
154,6,4,Stimuli64_+0.050_1,1.414,0.050,1
155,6,5,Stimuli65_+0.050_1,1.414,0.050,1
156,6,6,Stimuli66_+0.050_1,1.414,0.050,1
157,6,7,Stimuli67_+0.050_1,1.414,0.050,1
158,6,8,Stimuli68_+0.050_2,1.414,0.050,2
159,6,9,Stimuli69_+0.050_2,1.414,0.050,2
160,6,10,Stimuli70_+0.050_2,1.414,0.050,2
161,7,1,Stimuli71_+0.100_1,1.414,0.100,1
162,7,2,Stimuli72_+0.100_2,1.414,0.100,2
163,7,3,Stimuli73_+0.100_1,1.414,0.100,1
164,7,4,Stimuli74_+0.100_2,1.414,0.100,2
165,7,5,Stimuli75_+0.100_1,1.414,0.100,1
166,7,6,Stimuli76_+0.100_1,1.414,0.100,1
167,7,7,Stimuli77_+0.100_1,1.414,0.100,1
168,7,8,Stimuli78_+0.100_2,1.414,0.100,2
169,7,9,Stimuli79_+0.100_2,1.414,0.100,2
170,7,10,Stimuli80_+0.100_2,1.414,0.100,2
171,8,1,Stimuli81_+0.150_1,1.414,0.150,1
172,8,2,Stimuli82_+0.150_2,1.414,0.150,2
173,8,3,Stimuli83_+0.150_2,1.414,0.150,2
174,8,4,Stimuli84_+0.150_1,1.414,0.150,1
175,8,5,Stimuli85_+0.150_2,1.414,0.150,2
176,8,6,Stimuli86_+0.150_1,1.414,0.150,1
177,8,7,Stimuli87_+0.150_1,1.414,0.150,1
178,8,8,Stimuli88_+0.150_1,1.414,0.150,1
179,8,9,Stimuli89_+0.150_2,1.414,0.150,2
180,8,10,Stimuli90_+0.150_2,1.414,0.150,2
181,9,1,Stimuli91_+0.200_2,1.414,0.200,2
182,9,2,Stimuli92_+0.200_1,1.414,0.200,1
183,9,3,Stimuli93_+0.200_1,1.414,0.200,1
184,9,4,Stimuli94_+0.200_1,1.414,0.200,1
185,9,5,Stimuli95_+0.200_2,1.414,0.200,2
186,9,6,Stimuli96_+0.200_2,1.414,0.200,2
187,9,7,Stimuli97_+0.200_2,1.414,0.200,2
188,9,8,Stimuli98_+0.200_1,1.414,0.200,1
189,9,9,Stimuli99_+0.200_1,1.414,0.200,1
190,9,10,Stimuli100_+0.200_2,1.414,0.200,2
191,10,1,Stimuli101_+0.250_2,1.414,0.250,2
192,10,2,Stimuli102_+0.250_1,1.414,0.250,1
193,10,3,Stimuli103_+0.250_2,1.414,0.250,2
194,10,4,Stimuli104_+0.250_1,1.414,0.250,1
195,10,5,Stimuli105_+0.250_2,1.414,0.250,2
196,10,6,Stimuli106_+0.250_1,1.414,0.250,1
197,10,7,Stimuli107_+0.250_1,1.414,0.250,1
198,10,8,Stimuli108_+0.250_2,1.414,0.250,2
199,10,9,Stimuli109_+0.250_1,1.414,0.250,1
200,10,10,Stimuli110_+0.250_2,1.414,0.250,2
201,1,1,Stimuli11_-0.250_2,2.0,-0.250,2
202,1,2,Stimuli12_-0.250_1,2.0,-0.250,1
203,1,3,Stimuli13_-0.250_2,2.0,-0.250,2
204,1,4,Stimuli14_-0.250_2,2.0,-0.250,2
205,1,5,Stimuli15_-0.250_2,2.0,-0.250,2
206,1,6,Stimuli16_-0.250_2,2.0,-0.250,2
207,1,7,Stimuli17_-0.250_1,2.0,-0.250,1
208,1,8,Stimuli18_-0.250_1,2.0,-0.250,1
209,1,9,Stimuli19_-0.250_1,2.0,-0.250,1
210,1,10,Stimuli20_-0.250_1,2.0,-0.250,1
211,2,1,Stimuli21_-0.200_1,2.0,-0.200,1
212,2,2,Stimuli22_-0.200_2,2.0,-0.200,2
213,2,3,Stimuli23_-0.200_2,2.0,-0.200,2
214,2,4,Stimuli24_-0.200_1,2.0,-0.200,1
215,2,5,Stimuli25_-0.200_2,2.0,-0.200,2
216,2,6,Stimuli26_-0.200_2,2.0,-0.200,2
217,2,7,Stimuli27_-0.200_1,2.0,-0.200,1
218,2,8,Stimuli28_-0.200_2,2.0,-0.200,2
219,2,9,Stimuli29_-0.200_1,2.0,-0.200,1
220,2,10,Stimuli30_-0.200_1,2.0,-0.200,1
221,3,1,Stimuli31_-0.150_2,2.0,-0.150,2
222,3,2,Stimuli32_-0.150_2,2.0,-0.150,2
223,3,3,Stimuli33_-0.150_2,2.0,-0.150,2
224,3,4,Stimuli34_-0.150_1,2.0,-0.150,1
225,3,5,Stimuli35_-0.150_2,2.0,-0.150,2
226,3,6,Stimuli36_-0.150_1,2.0,-0.150,1
227,3,7,Stimuli37_-0.150_1,2.0,-0.150,1
228,3,8,Stimuli38_-0.150_2,2.0,-0.150,2
229,3,9,Stimuli39_-0.150_1,2.0,-0.150,1
230,3,10,Stimuli40_-0.150_1,2.0,-0.150,1
231,4,1,Stimuli41_-0.100_2,2.0,-0.100,2
232,4,2,Stimuli42_-0.100_1,2.0,-0.100,1
233,4,3,Stimuli43_-0.100_1,2.0,-0.100,1
234,4,4,Stimuli44_-0.100_2,2.0,-0.100,2
235,4,5,Stimuli45_-0.100_1,2.0,-0.100,1
236,4,6,Stimuli46_-0.100_1,2.0,-0.100,1
237,4,7,Stimuli47_-0.100_2,2.0,-0.100,2
238,4,8,Stimuli48_-0.100_2,2.0,-0.100,2
239,4,9,Stimuli49_-0.100_1,2.0,-0.100,1
240,4,10,Stimuli50_-0.100_2,2.0,-0.100,2
241,5,1,Stimuli51_-0.050_2,2.0,-0.050,2
242,5,2,Stimuli52_-0.050_2,2.0,-0.050,2
243,5,3,Stimuli53_-0.050_1,2.0,-0.050,1
244,5,4,Stimuli54_-0.050_2,2.0,-0.050,2
245,5,5,Stimuli55_-0.050_1,2.0,-0.050,1
246,5,6,Stimuli56_-0.050_1,2.0,-0.050,1
247,5,7,Stimuli57_-0.050_1,2.0,-0.050,1
248,5,8,Stimuli58_-0.050_1,2.0,-0.050,1
249,5,9,Stimuli59_-0.050_2,2.0,-0.050,2
250,5,10,Stimuli60_-0.050_2,2.0,-0.050,2
251,6,1,Stimuli61_+0.050_2,2.0,0.050,2
252,6,2,Stimuli62_+0.050_1,2.0,0.050,1
253,6,3,Stimuli63_+0.050_2,2.0,0.050,2
254,6,4,Stimuli64_+0.050_1,2.0,0.050,1
255,6,5,Stimuli65_+0.050_1,2.0,0.050,1
256,6,6,Stimuli66_+0.050_1,2.0,0.050,1
257,6,7,Stimuli67_+0.050_1,2.0,0.050,1
258,6,8,Stimuli68_+0.050_2,2.0,0.050,2
259,6,9,Stimuli69_+0.050_2,2.0,0.050,2
260,6,10,Stimuli70_+0.050_2,2.0,0.050,2
261,7,1,Stimuli71_+0.100_1,2.0,0.100,1
262,7,2,Stimuli72_+0.100_2,2.0,0.100,2
263,7,3,Stimuli73_+0.100_1,2.0,0.100,1
264,7,4,Stimuli74_+0.100_2,2.0,0.100,2
265,7,5,Stimuli75_+0.100_1,2.0,0.100,1
266,7,6,Stimuli76_+0.100_1,2.0,0.100,1
267,7,7,Stimuli77_+0.100_1,2.0,0.100,1
268,7,8,Stimuli78_+0.100_2,2.0,0.100,2
269,7,9,Stimuli79_+0.100_2,2.0,0.100,2
270,7,10,Stimuli80_+0.100_2,2.0,0.100,2
271,8,1,Stimuli81_+0.150_1,2.0,0.150,1
272,8,2,Stimuli82_+0.150_2,2.0,0.150,2
273,8,3,Stimuli83_+0.150_2,2.0,0.150,2
274,8,4,Stimuli84_+0.150_1,2.0,0.150,1
275,8,5,Stimuli85_+0.150_2,2.0,0.150,2
276,8,6,Stimuli86_+0.150_1,2.0,0.150,1
277,8,7,Stimuli87_+0.150_1,2.0,0.150,1
278,8,8,Stimuli88_+0.150_1,2.0,0.150,1
279,8,9,Stimuli89_+0.150_2,2.0,0.150,2
280,8,10,Stimuli90_+0.150_2,2.0,0.150,2
281,9,1,Stimuli91_+0.200_2,2.0,0.200,2
282,9,2,Stimuli92_+0.200_1,2.0,0.200,1
283,9,3,Stimuli93_+0.200_1,2.0,0.200,1
284,9,4,Stimuli94_+0.200_1,2.0,0.200,1
285,9,5,Stimuli95_+0.200_2,2.0,0.200,2
286,9,6,Stimuli96_+0.200_2,2.0,0.200,2
287,9,7,Stimuli97_+0.200_2,2.0,0.200,2
288,9,8,Stimuli98_+0.200_1,2.0,0.200,1
289,9,9,Stimuli99_+0.200_1,2.0,0.200,1
290,9,10,Stimuli100_+0.200_2,2.0,0.200,2
291,10,1,Stimuli101_+0.250_2,2.0,0.250,2
292,10,2,Stimuli102_+0.250_1,2.0,0.250,1
293,10,3,Stimuli103_+0.250_2,2.0,0.250,2
294,10,4,Stimuli104_+0.250_1,2.0,0.250,1
295,10,5,Stimuli105_+0.250_2,2.0,0.250,2
296,10,6,Stimuli106_+0.250_1,2.0,0.250,1
297,10,7,Stimuli107_+0.250_1,2.0,0.250,1
298,10,8,Stimuli108_+0.250_2,2.0,0.250,2
299,10,9,Stimuli109_+0.250_1,2.0,0.250,1
300,10,10,Stimuli110_+0.250_2,2.0,0.250,2
301,1,1,Stimuli11_-0.250_2,2.828,-0.250,2
302,1,2,Stimuli12_-0.250_1,2.828,-0.250,1
303,1,3,Stimuli13_-0.250_2,2.828,-0.250,2
304,1,4,Stimuli14_-0.250_2,2.828,-0.250,2
305,1,5,Stimuli15_-0.250_2,2.828,-0.250,2
306,1,6,Stimuli16_-0.250_2,2.828,-0.250,2
307,1,7,Stimuli17_-0.250_1,2.828,-0.250,1
308,1,8,Stimuli18_-0.250_1,2.828,-0.250,1
309,1,9,Stimuli19_-0.250_1,2.828,-0.250,1
310,1,10,Stimuli20_-0.250_1,2.828,-0.250,1
311,2,1,Stimuli21_-0.200_1,2.828,-0.200,1
312,2,2,Stimuli22_-0.200_2,2.828,-0.200,2
313,2,3,Stimuli23_-0.200_2,2.828,-0.200,2
314,2,4,Stimuli24_-0.200_1,2.828,-0.200,1
315,2,5,Stimuli25_-0.200_2,2.828,-0.200,2
316,2,6,Stimuli26_-0.200_2,2.828,-0.200,2
317,2,7,Stimuli27_-0.200_1,2.828,-0.200,1
318,2,8,Stimuli28_-0.200_2,2.828,-0.200,2
319,2,9,Stimuli29_-0.200_1,2.828,-0.200,1
320,2,10,Stimuli30_-0.200_1,2.828,-0.200,1
321,3,1,Stimuli31_-0.150_2,2.828,-0.150,2
322,3,2,Stimuli32_-0.150_2,2.828,-0.150,2
323,3,3,Stimuli33_-0.150_2,2.828,-0.150,2
324,3,4,Stimuli34_-0.150_1,2.828,-0.150,1
325,3,5,Stimuli35_-0.150_2,2.828,-0.150,2
326,3,6,Stimuli36_-0.150_1,2.828,-0.150,1
327,3,7,Stimuli37_-0.150_1,2.828,-0.150,1
328,3,8,Stimuli38_-0.150_2,2.828,-0.150,2
329,3,9,Stimuli39_-0.150_1,2.828,-0.150,1
330,3,10,Stimuli40_-0.150_1,2.828,-0.150,1
331,4,1,Stimuli41_-0.100_2,2.828,-0.100,2
332,4,2,Stimuli42_-0.100_1,2.828,-0.100,1
333,4,3,Stimuli43_-0.100_1,2.828,-0.100,1
334,4,4,Stimuli44_-0.100_2,2.828,-0.100,2
335,4,5,Stimuli45_-0.100_1,2.828,-0.100,1
336,4,6,Stimuli46_-0.100_1,2.828,-0.100,1
337,4,7,Stimuli47_-0.100_2,2.828,-0.100,2
338,4,8,Stimuli48_-0.100_2,2.828,-0.100,2
339,4,9,Stimuli49_-0.100_1,2.828,-0.100,1
340,4,10,Stimuli50_-0.100_2,2.828,-0.100,2
341,5,1,Stimuli51_-0.050_2,2.828,-0.050,2
342,5,2,Stimuli52_-0.050_2,2.828,-0.050,2
343,5,3,Stimuli53_-0.050_1,2.828,-0.050,1
344,5,4,Stimuli54_-0.050_2,2.828,-0.050,2
345,5,5,Stimuli55_-0.050_1,2.828,-0.050,1
346,5,6,Stimuli56_-0.050_1,2.828,-0.050,1
347,5,7,Stimuli57_-0.050_1,2.828,-0.050,1
348,5,8,Stimuli58_-0.050_1,2.828,-0.050,1
349,5,9,Stimuli59_-0.050_2,2.828,-0.050,2
350,5,10,Stimuli60_-0.050_2,2.828,-0.050,2
351,6,1,Stimuli61_+0.050_2,2.828,0.050,2
352,6,2,Stimuli62_+0.050_1,2.828,0.050,1
353,6,3,Stimuli63_+0.050_2,2.828,0.050,2
354,6,4,Stimuli64_+0.050_1,2.828,0.050,1
355,6,5,Stimuli65_+0.050_1,2.828,0.050,1
356,6,6,Stimuli66_+0.050_1,2.828,0.050,1
357,6,7,Stimuli67_+0.050_1,2.828,0.050,1
358,6,8,Stimuli68_+0.050_2,2.828,0.050,2
359,6,9,Stimuli69_+0.050_2,2.828,0.050,2
360,6,10,Stimuli70_+0.050_2,2.828,0.050,2
361,7,1,Stimuli71_+0.100_1,2.828,0.100,1
362,7,2,Stimuli72_+0.100_2,2.828,0.100,2
363,7,3,Stimuli73_+0.100_1,2.828,0.100,1
364,7,4,Stimuli74_+0.100_2,2.828,0.100,2
365,7,5,Stimuli75_+0.100_1,2.828,0.100,1
366,7,6,Stimuli76_+0.100_1,2.828,0.100,1
367,7,7,Stimuli77_+0.100_1,2.828,0.100,1
368,7,8,Stimuli78_+0.100_2,2.828,0.100,2
369,7,9,Stimuli79_+0.100_2,2.828,0.100,2
370,7,10,Stimuli80_+0.100_2,2.828,0.100,2
371,8,1,Stimuli81_+0.150_1,2.828,0.150,1
372,8,2,Stimuli82_+0.150_2,2.828,0.150,2
373,8,3,Stimuli83_+0.150_2,2.828,0.150,2
374,8,4,Stimuli84_+0.150_1,2.828,0.150,1
375,8,5,Stimuli85_+0.150_2,2.828,0.150,2
376,8,6,Stimuli86_+0.150_1,2.828,0.150,1
377,8,7,Stimuli87_+0.150_1,2.828,0.150,1
378,8,8,Stimuli88_+0.150_1,2.828,0.150,1
379,8,9,Stimuli89_+0.150_2,2.828,0.150,2
380,8,10,Stimuli90_+0.150_2,2.828,0.150,2
381,9,1,Stimuli91_+0.200_2,2.828,0.200,2
382,9,2,Stimuli92_+0.200_1,2.828,0.200,1
383,9,3,Stimuli93_+0.200_1,2.828,0.200,1
384,9,4,Stimuli94_+0.200_1,2.828,0.200,1
385,9,5,Stimuli95_+0.200_2,2.828,0.200,2
386,9,6,Stimuli96_+0.200_2,2.828,0.200,2
387,9,7,Stimuli97_+0.200_2,2.828,0.200,2
388,9,8,Stimuli98_+0.200_1,2.828,0.200,1
389,9,9,Stimuli99_+0.200_1,2.828,0.200,1
390,9,10,Stimuli100_+0.200_2,2.828,0.200,2
391,10,1,Stimuli101_+0.250_2,2.828,0.250,2
392,10,2,Stimuli102_+0.250_1,2.828,0.250,1
393,10,3,Stimuli103_+0.250_2,2.828,0.250,2
394,10,4,Stimuli104_+0.250_1,2.828,0.250,1
395,10,5,Stimuli105_+0.250_2,2.828,0.250,2
396,10,6,Stimuli106_+0.250_1,2.828,0.250,1
397,10,7,Stimuli107_+0.250_1,2.828,0.250,1
398,10,8,Stimuli108_+0.250_2,2.828,0.250,2
399,10,9,Stimuli109_+0.250_1,2.828,0.250,1
400,10,10,Stimuli110_+0.250_2,2.828,0.250,2
